ticker,date,forecast,lower_80,upper_80,lower_95,upper_95
AAPL,2026-03-01,266.7964,251.4695,282.1232,243.356,290.2367
AAPL,2026-04-01,269.2601,247.5847,290.9355,236.1104,302.4097
AAPL,2026-05-01,271.7238,245.177,298.2706,231.1239,312.3236
AAPL,2026-06-01,274.1875,243.5339,304.8411,227.3068,321.0682
AAPL,2026-07-01,276.6512,242.3794,310.923,224.237,329.0654
AAPL,2026-08-01,279.1149,241.572,316.6578,221.698,336.5318
AAPL,2026-09-01,281.5786,241.0277,322.1296,219.5613,343.596
AAPL,2026-10-01,284.0423,240.6916,327.3931,217.743,350.3417
AAPL,2026-11-01,286.5061,240.5256,332.4865,216.185,356.8271
AAPL,2026-12-01,288.9698,240.5021,337.4374,214.8449,363.0946
AAPL,2027-01-01,291.4335,240.6002,342.2668,213.6907,369.1763
AAPL,2027-02-01,293.8972,240.8036,346.9909,212.6975,375.0969
AMZN,2026-03-01,210.11,192.3324,227.8876,182.9215,237.2985
AMZN,2026-04-01,210.11,184.9687,235.2513,171.6596,248.5604
AMZN,2026-05-01,210.11,179.3183,240.9017,163.0181,257.2019
AMZN,2026-06-01,210.11,174.5548,245.6652,155.733,264.487
AMZN,2026-07-01,210.11,170.3581,249.8619,149.3147,270.9053
AMZN,2026-08-01,210.11,166.5639,253.6561,143.512,276.708
AMZN,2026-09-01,210.11,163.0749,257.1451,138.176,282.044
AMZN,2026-10-01,210.11,159.8273,260.3927,133.2093,287.0107
AMZN,2026-11-01,210.11,156.7772,263.4428,128.5445,291.6755
AMZN,2026-12-01,210.11,153.8923,266.3277,124.1324,296.0876
AMZN,2027-01-01,210.11,151.1483,269.0717,119.9359,300.2841
AMZN,2027-02-01,210.11,148.5266,271.6934,115.9263,304.2937
GOOGL,2026-03-01,318.5839,301.0786,336.0891,291.8119,345.3558
GOOGL,2026-04-01,322.1877,297.4315,346.9439,284.3264,360.049
GOOGL,2026-05-01,325.7916,295.4716,356.1116,279.4211,372.162
GOOGL,2026-06-01,329.3954,294.3849,364.4059,275.8515,382.9394
GOOGL,2026-07-01,332.9993,293.8563,372.1422,273.1353,392.8632
GOOGL,2026-08-01,336.6031,293.7242,379.4821,271.0254,402.1808
GOOGL,2026-09-01,340.207,293.8924,386.5215,269.375,411.039
GOOGL,2026-10-01,343.8108,294.2985,393.3232,268.0883,419.5334
GOOGL,2026-11-01,347.4147,294.8989,399.9305,267.0988,427.7306
GOOGL,2026-12-01,351.0185,295.6621,406.375,266.3581,435.679
GOOGL,2027-01-01,354.6224,296.564,412.6808,265.8298,443.415
GOOGL,2027-02-01,358.2263,297.5863,418.8662,265.4854,450.9671
MSFT,2026-03-01,396.3254,366.6445,426.0063,350.9324,441.7184
MSFT,2026-04-01,396.3254,354.3503,438.3005,332.13,460.5208
MSFT,2026-05-01,396.3254,344.9166,447.7342,317.7024,474.9484
MSFT,2026-06-01,396.3254,336.9636,455.6872,305.5394,487.1114
MSFT,2026-07-01,396.3254,329.9569,462.6939,294.8236,497.8272
MSFT,2026-08-01,396.3254,323.6224,469.0284,285.1357,507.5151
MSFT,2026-09-01,396.3254,317.7972,474.8536,276.2268,516.424
MSFT,2026-10-01,396.3254,312.3752,480.2756,267.9346,524.7162
MSFT,2026-11-01,396.3254,307.2828,485.3681,260.1464,532.5044
MSFT,2026-12-01,396.3254,302.4662,490.1846,252.7802,539.8707
MSFT,2027-01-01,396.3254,297.8851,494.7658,245.7739,546.8769
MSFT,2027-02-01,396.3254,293.5078,499.143,239.0795,553.5714
